InstanceId,InstanceName,InstanceType,InstanceState,Region
i-0db6b6cbe92c183a4,eb-use1-ap-pe-search-ubx2-api-u-1,t3.small,running,us-east-1
i-00cfb7557c5da553b,ec2-use1-ap-pe-route-d,t2.micro,running,us-east-1
i-008d8a470721a416d,ec2-use1-appe-df-orders-ecommerce-checkout-web-u,t3.small,running,us-east-1
i-0f4cb9df74d6f1fba,Entitlements-Fat-Api-Ubx2-Prod,t3a.medium,running,us-east-1
i-0d3af8d24ef219de2,ec2-use1-ap-pe-df-ecom-paym-workers-prod,t3.small,running,us-east-1
i-0935b5ae4efced053,,t3.medium,running,us-east-1
i-0723d5ce57fd63490,ec2-euw1-ap-da-products-data-extractor-pcm-to-s3-d-d,t3.nano,running,us-east-1
i-00664daa5ce91906f,DataSync Agent,c5.2xlarge,running,us-east-1
i-01aea766bfc63ab23,EFS-Migration1,t3.large,running,us-east-1
i-0650dc9a6e9317930,BMIA-POC-matching_engine,m5n.large,running,us-east-1
i-0162923c8e45668bf,,t3.medium,running,us-east-1
i-097cacde311f0e053,EFS-Migration2,t3.large,running,us-east-1
i-00e33320a36284390,,t3.small,running,us-east-1
i-0f1eafb954fc6a6b5,,t3.medium,running,us-east-1
i-014e701f4cc60114d,,t3.medium,running,us-east-1
i-0368f6f8122787015,ec2-use1-appe-df-orders-ecommerce-payment-web-p,t3.small,running,us-east-1
i-00a4f9c85bcfd2c2a,ecs-use1-ap-pe-products-client-europa-website-api-p,m5a.xlarge,running,us-east-1
i-0f052838be4ac34a6,ecs-use1-ap-pe-products-client-europa-website-p,m5a.large,running,us-east-1
i-0a13ab5a9725b42ec,ecs-use1-ap-ap-customers-service-ubx2-website-admin-librarian-u,m5a.large,running,us-east-1
i-0393666bdcd24cea6,Properties-API-Prod-1,t3.medium,running,us-east-1
i-0641ac4058f7d9137,Properties-API-Prod-2,t3.medium,running,us-east-1
i-093056a8633632d8f,ecs-use1-ap-pe-license-listener-service-u,t2.medium,running,us-east-1
i-079251bb98e9648b2,ecs-use1-ap-pe-products-client-europa-website-p,m5a.large,running,us-east-1
i-0ec36a58e8cadd378,eb-use1-ap-pe-ems-service-ubx2-api-p,m5a.large,running,us-east-1
i-034de8f47865bb0fd,Properties-API-Prod-1,t3.medium,running,us-east-1
i-09a77d0c29c944cac,Properties-API-Prod-2,t3.medium,running,us-east-1
i-0063d70c593e80f29,ec2-use1-appe-df-orders-ecommerce-payment-web-u,t3.small,running,us-east-1
i-0a5915cdd730b7c74,ec2-use1-ap-pe-products-client-europa-website-utility-p,m5a.large,running,us-east-1
i-066f0cd4741a85606,ecs-use1-ap-pe-products-client-europa-website-api-p,m5a.xlarge,running,us-east-1
i-0988209be57044c34,Cloudwatch Log POC,t2.micro,running,us-east-1
i-08c214ef58ff2e3a3,ec2-use1-appe-df-orders-ecommerce-checkout-web-p,t3.small,running,us-east-1
i-039990659b9c3825e,,t3.medium,running,us-east-1
i-08abb788a14e60a09,ecs-appe-devops-d,t2.medium,running,us-east-1
i-0a1377384fe18f8e6,ecs-appe-operation-d,t2.medium,running,us-east-1
i-0c9ed38c1307bc97e,eb-use1-ap-pe-notif-srv-ubx2-api-p-b,m5.large,running,us-east-1
